#type	sub_ype	price	maxcount	param_id	name	icon	color	level	des	attr
Other	None	1	1	0	新手指南	2	6	3	这本书可以教你如何玩这个游戏！	
Remedy	aptitudesRemedy	360	9999	50	五品水元素	38	1	0	修真界极其珍贵的天材地宝，蕴含着一缕元素本源，使用后能提升自己的水灵根。|水灵根低于50是才能使用。|水灵根：+1	28*1
Remedy	aptitudesRemedy	360	9999	50	五品雷元素	39	1	0	修真界极其珍贵的天材地宝，蕴含着一缕元素本源，使用后能提升自己的雷灵根。|雷灵根低于50是才能使用。|雷灵根：+1	29*1
Remedy	aptitudesRemedy	360	9999	50	五品风元素	40	1	0	修真界极其珍贵的天材地宝，蕴含着一缕元素本源，使用后能提升自己的风灵根。|风灵根低于50是才能使用。|风灵根：+1	30*1
Remedy	aptitudesRemedy	360	9999	50	五品土元素	41	1	0	修真界极其珍贵的天材地宝，蕴含着一缕元素本源，使用后能提升自己的土灵根。|土灵根低于50是才能使用。|土灵根：+1	31*1
Remedy	aptitudesRemedy	360	9999	50	五品木元素	42	1	0	修真界极其珍贵的天材地宝，蕴含着一缕元素本源，使用后能提升自己的木灵根。|木灵根低于50是才能使用。|木灵根：+1	32*1
Remedy	aptitudesRemedy	360	9999	50	五品炼丹心得	43	1	0	修真界大能留下的一些炼丹领悟，使用后能提升自己的炼丹资质。|炼丹资质低于50是才能使用。|炼丹资质：+5	33*5
Remedy	aptitudesRemedy	360	9999	50	五品炼器心得	44	1	0	修真界大能留下的一些炼器领悟，使用后能提升自己的炼器资质。|炼器资质低于50是才能使用。|炼器资质：+5	34*5
Remedy	aptitudesRemedy	360	9999	50	五品风水心得	45	1	0	修真界大能留下的一些风水领悟，使用后能提升自己的风水资质。|风水资质低于50是才能使用。|风水资质：+5	35*5
Remedy	aptitudesRemedy	360	9999	50	五品画符心得	46	1	0	修真界大能留下的一些画符领悟，使用后能提升自己的画符资质。|画符资质低于50是才能使用。|画符资质：+5	36*5
Remedy	aptitudesRemedy	360	9999	50	五品药材心得	47	1	0	修真界大能留下的一些药材领悟，使用后能提升自己的药材资质。|药材资质低于50是才能使用。|药材资质：+5	37*5
Remedy	aptitudesRemedy	360	9999	50	五品矿材心得	48	1	0	修真界大能留下的一些矿材领悟，使用后能提升自己的矿材资质。|矿材资质低于50是才能使用。|矿材资质：+5	38*5
